name,year_founded,industry,locality,country,current_employee_estimate
case western reserve university,1826,higher education,"cleveland, ohio, united states",united states,4881
texas children's hospital,1954,hospital & health care,"houston, texas, united states",united states,4880
amec,1982,oil & energy,"london, greater london, united kingdom",united kingdom,4880
sony pictures entertainment,,entertainment,"culver city, california, united states",united states,4880
under armour,1996,apparel & fashion,"baltimore, maryland, united states",united states,4879
softtek,1982,information technology and services,"monterrey, nuevo leon, mexico",mexico,4876
apollo hospitals,1983,hospital & health care,"chennai, tamil nadu, india",india,4875
jeunesse global,2009,"health, wellness and fitness","altamonte springs, florida, united states",united states,4873
savills,1855,real estate,"london, greater london, united kingdom",united kingdom,4870
kpmg india,,management consulting,"bombay, maharashtra, india",india,4870
york university,1959,higher education,"toronto, ontario, canada",canada,4864
autônomo,,legal services,,,4862
state of illinois,,government administration,,,4856
saks fifth avenue,1924,retail,"new york, new york, united states",united states,4855
region skåne,,hospital & health care,,,4847
acciona,1861,renewables & environment,"alcobendas, madrid, spain",spain,4846
sabre corporation,1960,information technology and services,"southlake, texas, united states",united states,4844
dte energy,,utilities,"detroit, michigan, united states",united states,4843
ntnu,1910,higher education,"trondheim, sor-trondelag, norway",norway,4843
anglogold ashanti,1998,mining & metals,"johannesburg, gauteng, south africa",south africa,4842
td ameritrade,1975,financial services,"omaha, nebraska, united states",united states,4840
michael kors,1981,apparel & fashion,"new york, new york, united states",united states,4838
fiverr (fiverr.com),2010,internet,"new york, new york, united states",united states,4835
university of cape town,1829,higher education,"rondebosch, western cape, south africa",south africa,4832
deloitte australia,,management consulting,"sydney, new south wales, australia",australia,4830
lonza,1897,biotechnology,"basel, basel-city, switzerland",switzerland,4823
afpa,1966,professional training & coaching,"montreuil, ile-de-france, france",france,4821
praxair,1907,chemicals,"danbury, connecticut, united states",united states,4821
sobeys,1907,retail,"stellarton, nova scotia, canada",canada,4819
nsw health,,hospital & health care,,,4818
john lewis,1864,retail,"london, london, united kingdom",united kingdom,4815
abm industries,1909,facilities services,"new york, new york, united states",united states,4814
twitter,2006,internet,"san francisco, california, united states",united states,4813
u.s. army network enterprise technology command,1995,military,"sam houston, texas, united states",united states,4813
