name,year_founded,industry,locality,country,current_employee_estimate
accorhotels,1967,hospitality,"paris, île-de-france, france",france,12427
brf,1934,food & beverages,"sao paulo, sao paulo, brazil",brazil,12403
l&t infotech,1997,information technology and services,"bombay, maharashtra, india",india,12385
sonatrach,1963,oil & energy,"algiers, alger, algeria",algeria,12376
pizza hut,1958,restaurants,"plano, texas, united states",united states,12338
technip,1958,oil & energy,,,12334
eni,,oil & energy,"rome, lazio, italy",italy,12321
departament d'ensenyament - generalitat de catalunya,1931,education management,"barcelona, catalonia, spain",spain,12319
altran,1982,information technology and services,,,12308
emerson automation solutions,,mechanical or industrial engineering,"round rock, texas, united states",united states,12302
the boston consulting group (bcg),1963,management consulting,"boston, massachusetts, united states",united states,12290
l-3 communications,1997,management consulting,"new york, new york, united states",united states,12268
davita,1999,hospital & health care,"denver, colorado, united states",united states,12264
intesa sanpaolo,2007,banking,"turin, piedmont, italy",italy,12248
daimler ag,1886,automotive,,,12239
lear corporation,1917,automotive,"southfield, michigan, united states",united states,12219
rockwell automation,1903,industrial automation,"milwaukee, wisconsin, united states",united states,12217
rb,1823,consumer goods,"berks, west berkshire, united kingdom",united kingdom,12216
db schenker,,logistics and supply chain,"essen, north rhine-westphalia, germany",germany,12210
hôtel,,hospitality,,,12163
wells fargo advisors,,financial services,"st. louis, missouri, united states",united states,12123
accenture in india,1989,information technology and services,"bangalore, karnataka, india",india,12121
texas a&m university,1876,higher education,"college station, texas, united states",united states,12106
bloomberg lp,1981,financial services,"new york, new york, united states",united states,12093
arizona state university,1885,higher education,"tempe, arizona, united states",united states,12088
heineken,1864,food & beverages,"amsterdam, noord-holland, netherlands",netherlands,12079
escola,,primary/secondary education,,,12077
statoil,1972,oil & energy,"stavanger, rogaland, norway",norway,12066
ppg industries,1883,chemicals,"pittsburgh, pennsylvania, united states",united states,12061
sainsbury's,1869,retail,"london, greater london, united kingdom",united kingdom,12057
fiserv,1984,information technology and services,"brookfield, wisconsin, united states",united states,12045
teva pharmaceuticals,1901,pharmaceuticals,,,12034
rogers communications,1960,telecommunications,"toronto, ontario, canada",canada,12026
conocophillips,2012,oil & energy,"houston, texas, united states",united states,12017
diageo,1997,wine and spirits,"london, greater london, united kingdom",united kingdom,12017
michigan state university,,higher education,"east lansing, michigan, united states",united states,12003
qatar airways,1997,airlines/aviation,"doha, ad dawhah, qatar",qatar,11988
generali,1831,insurance,,,11963
suntrust bank,1891,financial services,"atlanta, georgia, united states",united states,11960
rockwell collins,1933,aviation & aerospace,"cedar rapids, iowa, united states",united states,11957
office depot,1986,business supplies and equipment,"boca raton, florida, united states",united states,11948
sephora,1969,retail,"boulogne-billancourt, ile-de-france, france",france,11934
telenor,1855,telecommunications,"fornebu, akershus, norway",norway,11933
manulife,,financial services,"riverside, california, united states",united states,11921
ceva logistics,2006,logistics and supply chain,"hoofddorp, north holland, netherlands",united states,11917
"nbcuniversal media, llc",1926,entertainment,"new york, new york, united states",united states,11891
ministerie van defensie,,military,"the hague, zuid-holland, netherlands",netherlands,11880
university of phoenix,1976,higher education,"tempe, arizona, united states",united states,11801
independent,,internet,,,11778
standard chartered bank,1853,banking,"london, greater london, united kingdom",united kingdom,11757
pdvsa petroleos de venezuela s.a.,1976,oil & energy,"caracas, capital, venezuela",venezuela,11723
sutherland global services,1986,outsourcing/offshoring,"rochester, new york, united states",united states,11691
four seasons hotels and resorts,,hospitality,"toronto, ontario, canada",canada,11683
harvard university,,higher education,"cambridge, massachusetts, united states",united states,11673
telecom italia,1994,telecommunications,"milano, lombardy, italy",italy,11628
mary kay cosmetics,,professional training & coaching,"albany, new york, united states",united states,11627
ucla,1919,higher education,"los angeles, california, united states",united states,11624
international paper,,paper & forest products,"memphis, tennessee, united states",united states,11618
geico,1936,insurance,"chevy chase, maryland, united states",united states,11586
ge capital,,financial services,"norwalk, connecticut, united states",united states,10692
education nationale,,arts and crafts,,,10689
westpac,1817,banking,"new york, new york, united states",united states,10682
governo do estado de são paulo,,security and investigations,,,10675
northern trust corporation,1889,financial services,"chicago, illinois, united states",united states,10672
sasol,1950,chemicals,"johannesburg, gauteng, south africa",south africa,10639
electrolux,1919,consumer goods,"stockholm, stockholm, sweden",sweden,10631
claro,2003,telecommunications,,,10630
university of wisconsin-madison,,higher education,"madison, wisconsin, united states",united states,10627
pivate institute,,information technology and services,,,10591
inps,,information technology and services,,,10587
general mills,1928,consumer goods,"minneapolis, minnesota, united states",united states,10578
aim,1962,retail,"bentonville, arkansas, united states",united states,10577
unisys,,information technology and services,"blue bell, pennsylvania, united states",united states,10567
burger king corporation,1954,restaurants,"miami, florida, united states",united states,10547
tetra pak,,packaging and containers,"hull, iowa, united states",united states,10536
coca-cola femsa,1993,food & beverages,"mexico, distrito federal, mexico",mexico,10527
cnh industrial,2013,machinery,,,10509
banner health,1999,hospital & health care,"phoenix, arizona, united states",united states,10478
upmc,1986,hospital & health care,"pittsburgh, pennsylvania, united states",united states,10468
